address;source_location;insn;indent
0x3355c;:0;LEA	-0x30(%RBP),%RAX;
0x33560;:0;MOV	%RAX,%RDI;
0x33563;:0;CALL	359b6 <_ZNKSt6vectorISt4pairIdiESaIS1_EE4sizeEv>;
0x33568;:0;SUB	$0x1,%RAX;
0x3356c;:0;CMP	%RAX,-0xc8(%RBP);
0x33573;:0;SETB	%AL;
0x33576;:0;TEST	%AL,%AL;
0x33578;:0;JNE	335a0 <_ZN18DecisionTreeSingle16findBestSplitOMPERKSt6vectorIdSaIdEEiS4_RKS0_IiSaIiEEd._omp_fn.0+0x2fb>;
0x335a0;:0;MOV	-0xc8(%RBP),%RDX;
0x335a7;:0;LEA	-0x30(%RBP),%RAX;
0x335ab;:0;MOV	%RDX,%RSI;
0x335ae;:0;MOV	%RAX,%RDI;
0x335b1;:0;CALL	359de <_ZNSt6vectorISt4pairIdiESaIS1_EEixEm>;
0x335b6;:0;MOV	0x8(%RAX),%EAX;
0x335b9;:0;MOV	%EAX,-0x124(%RBP);
0x335bf;:0;MOV	-0xc8(%RBP),%RDX;
0x335c6;:0;LEA	-0x30(%RBP),%RAX;
0x335ca;:0;MOV	%RDX,%RSI;
0x335cd;:0;MOV	%RAX,%RDI;
0x335d0;:0;CALL	359de <_ZNSt6vectorISt4pairIdiESaIS1_EEixEm>;
0x335d5;:0;MOVSD	(%RAX),%XMM0;
0x335d9;:0;MOVSD	%XMM0,-0x98(%RBP);
0x335e1;:0;MOV	-0x124(%RBP),%EAX;
0x335e7;:0;MOVSXD	%EAX,%RDX;
0x335ea;:0;MOV	-0x138(%RBP),%RAX;
0x335f1;:0;MOV	0x8(%RAX),%RAX;
0x335f5;:0;MOV	%RDX,%RSI;
0x335f8;:0;MOV	%RAX,%RDI;
0x335fb;:0;CALL	28046 <_ZNKSt6vectorIdSaIdEEixEm>;
0x33600;:0;MOVSD	(%RAX),%XMM0;
0x33604;:0;MOVSD	%XMM0,-0x90(%RBP);
0x3360c;:0;MOVSD	-0xf8(%RBP),%XMM0;
0x33614;:0;ADDSD	-0x90(%RBP),%XMM0;
0x3361c;:0;MOVSD	%XMM0,-0xf8(%RBP);
0x33624;:0;MOVSD	-0x90(%RBP),%XMM0;
0x3362c;:0;MULSD	%XMM0,%XMM0;
0x33630;:0;MOVSD	-0xf0(%RBP),%XMM1;
0x33638;:0;ADDSD	%XMM1,%XMM0;
0x3363c;:0;MOVSD	%XMM0,-0xf0(%RBP);
0x33644;:0;ADDQ	$0x1,-0xe8(%RBP);
0x3364c;:0;MOVSD	-0xe0(%RBP),%XMM0;
0x33654;:0;SUBSD	-0x90(%RBP),%XMM0;
0x3365c;:0;MOVSD	%XMM0,-0xe0(%RBP);
0x33664;:0;MOVSD	-0x90(%RBP),%XMM0;
0x3366c;:0;MOVAPD	%XMM0,%XMM1;
0x33670;:0;MULSD	%XMM0,%XMM1;
0x33674;:0;MOVSD	-0xd8(%RBP),%XMM0;
0x3367c;:0;SUBSD	%XMM1,%XMM0;
0x33680;:0;MOVSD	%XMM0,-0xd8(%RBP);
0x33688;:0;SUBQ	$0x1,-0xd0(%RBP);
0x33690;:0;MOV	-0xc8(%RBP),%RAX;
0x33697;:0;LEA	0x1(%RAX),%RDX;
0x3369b;:0;LEA	-0x30(%RBP),%RAX;
0x3369f;:0;MOV	%RDX,%RSI;
0x336a2;:0;MOV	%RAX,%RDI;
0x336a5;:0;CALL	359de <_ZNSt6vectorISt4pairIdiESaIS1_EEixEm>;
0x336aa;:0;MOVSD	(%RAX),%XMM0;
0x336ae;:0;MOVSD	%XMM0,-0x88(%RBP);
0x336b6;:0;MOVSD	-0x98(%RBP),%XMM0;
0x336be;:0;UCOMISD	-0x88(%RBP),%XMM0;
0x336c6;:0;JP	336e8 <_ZN18DecisionTreeSingle16findBestSplitOMPERKSt6vectorIdSaIdEEiS4_RKS0_IiSaIiEEd._omp_fn.0+0x443>;
0x336c8;:0;MOVSD	-0x98(%RBP),%XMM0;
0x336d0;:0;UCOMISD	-0x88(%RBP),%XMM0;
0x336d8;:0;JNE	336e8 <_ZN18DecisionTreeSingle16findBestSplitOMPERKSt6vectorIdSaIdEEiS4_RKS0_IiSaIiEEd._omp_fn.0+0x443>;
0x336da;:0;NOP;
0x336db;:0;ADDQ	$0x1,-0xc8(%RBP);
